# Directed network: CollegeMsg.txt 
# Nodes: 1899 Edges: 20296
# SrcNId	DstNId	Flt:capacity
32	237	0.250000
9	235	1.000000
237	32	0.007299
97	191	0.111111
176	233	0.071429
9	101	0.023256
48	52	0.217391
48	175	0.500000
52	48	0.187500
9	177	1.500000
9	175	0.225000
175	48	0.416667
41	174	0.071429
12	175	0.875000
12	168	0.250000
12	81	0.083333
88	220	0.037037
9	209	0.071429
103	52	0.108696
220	48	0.312500
144	222	0.142857
144	195	0.333333
191	237	0.500000
220	95	0.326923
95	168	0.333333
144	88	0.090909
144	238	0.333333
239	175	0.050000
144	240	1.000000
239	236	0.068966
12	90	0.037037
144	23	0.500000
144	48	0.291667
88	144	0.031746
9	144	0.063492
144	241	0.166667
103	144	0.047619
9	216	0.333333
194	242	0.052632
194	209	0.142857
194	182	0.666667
32	144	0.015873
32	243	0.250000
204	241	0.166667
227	144	0.015873
168	95	0.057692
9	244	0.142857
245	191	0.044444
228	97	0.013889
211	246	1.000000
233	88	0.030303
34	242	0.052632
19	233	0.107143
127	63	0.042254
143	95	0.019231
32	88	0.090909
211	233	0.035714
88	32	0.014599
247	248	0.111111
248	247	0.500000
176	248	0.555556
211	232	0.500000
249	63	0.070423
41	250	0.071429
41	248	0.111111
41	251	0.250000
51	86	0.100000
212	252	0.086957
212	34	0.250000
144	247	0.500000
204	51	0.727273
53	253	1.000000
9	251	0.250000
44	48	0.041667
254	8	0.096774
8	254	0.045455
1	255	3.000000
103	256	0.095238
204	257	0.076923
258	76	0.400000
259	260	0.020833
261	256	0.047619
204	81	0.083333
259	256	0.190476
51	260	0.020833
260	51	0.303030
204	262	0.500000
103	260	0.041667
263	254	0.045455
41	256	0.047619
36	254	0.090909
62	215	0.125000
264	158	0.250000
6	122	0.400000
36	6	0.102041
41	265	0.111111
96	6	0.122449
256	259	0.125000
204	48	0.270833
211	251	0.250000
204	266	0.181818
267	260	0.020833
267	256	0.047619
260	267	0.200000
12	260	0.020833
263	191	0.022222
12	101	0.302326
51	267	0.400000
268	149	0.058824
267	51	0.060606
140	6	0.040816
103	267	0.400000
69	254	0.015152
212	48	0.333333
176	269	0.166667
19	265	0.111111
212	254	0.015152
176	270	0.400000
176	267	0.200000
69	271	0.636364
272	273	0.400000
48	256	0.095238
274	48	0.041667
144	260	0.020833
103	265	0.111111
263	222	0.142857
198	256	0.047619
103	270	0.400000
176	256	0.047619
263	239	0.222222
135	105	0.011111
103	228	0.125000
101	271	0.090909
275	20	0.166667
276	8	0.016129
20	275	3.000000
263	277	0.131148
140	278	0.047619
127	260	0.020833
101	68	0.031250
260	127	0.150000
199	279	0.500000
199	260	0.020833
260	199	0.046512
41	101	0.023256
41	280	1.666667
271	101	0.023256
281	254	0.106061
277	68	0.031250
282	34	0.225000
176	283	0.125000
176	284	0.200000
220	271	0.090909
41	270	0.400000
220	67	0.032258
67	256	0.095238
36	285	0.176471
286	221	0.130435
101	32	0.014599
189	132	0.034483
220	221	0.217391
221	3	0.048780
181	180	0.111111
181	177	0.142857
181	260	0.020833
260	287	1.000000
236	239	0.111111
260	181	0.105263
51	288	0.076923
79	166	0.142857
79	256	0.047619
79	260	0.020833
204	68	0.406250
289	135	0.050000
204	79	0.222222
204	276	0.200000
204	271	0.181818
3	221	0.086957
58	199	0.023256
44	290	0.250000
27	221	0.130435
291	292	0.500000
69	293	0.333333
69	104	0.200000
9	260	0.062500
114	124	0.111111
63	290	0.500000
32	291	0.272727
36	236	0.068966
36	291	0.090909
51	294	0.214286
291	32	0.014599
211	260	0.041667
295	296	0.028571
211	288	0.115385
211	284	0.200000
204	288	0.038462
204	284	0.200000
294	51	0.393939
6	221	0.086957
297	191	0.022222
70	124	0.027778
53	291	0.090909
204	298	0.611111
289	220	0.037037
211	265	0.111111
221	6	0.020408
221	211	0.100000
277	34	0.025000
277	299	0.096774
300	52	0.021739
212	67	0.032258
277	50	0.022222
204	181	0.789474
211	221	0.086957
184	32	0.007299
193	233	0.892857
32	184	0.294118
301	63	0.014085
289	8	0.016129
9	299	0.290323
6	88	0.030303
302	138	1.000000
288	51	0.060606
288	211	0.100000
228	211	0.050000
260	79	0.222222
260	211	0.100000
63	301	2.000000
303	294	0.071429
155	3	0.024390
205	304	0.250000
155	8	0.016129
277	252	0.108696
212	211	0.300000
288	50	0.044444
143	67	0.032258
212	228	0.083333
228	121	0.222222
67	164	0.142857
67	132	0.103448
228	61	0.045455
228	304	0.250000
305	306	0.042553
67	172	0.076923
277	172	0.192308
209	299	0.064516
67	175	0.025000
307	6	0.163265
307	51	0.030303
6	299	0.032258
277	51	0.090909
277	79	0.111111
281	308	0.308642
193	302	0.191489
302	193	0.230769
307	67	0.032258
281	302	0.170213
60	308	0.135802
309	175	0.025000
310	72	0.013333
308	60	0.400000
189	302	0.042553
277	184	0.352941
121	228	0.041667
36	211	0.600000
303	212	0.301587
36	155	0.050000
193	311	0.033333
36	34	0.025000
194	296	0.628571
211	128	0.030303
296	63	0.056338
194	312	0.076923
128	51	0.151515
194	132	0.068966
299	209	0.035714
299	6	0.020408
248	283	0.093750
128	236	0.793103
263	308	0.135802
36	299	0.096774
19	302	0.106383
103	299	0.193548
313	228	0.041667
314	308	0.024691
277	191	0.111111
212	51	0.393939
306	305	0.666667
263	311	0.133333
193	280	0.333333
314	254	0.015152
303	298	0.222222
263	315	0.166667
263	316	0.406250
51	59	0.055556
128	211	0.100000
314	51	0.060606
314	34	0.100000
308	315	0.055556
9	315	0.055556
9	316	0.250000
317	315	0.166667
318	124	0.111111
63	296	0.057143
286	34	0.075000
314	48	0.125000
318	34	0.150000
50	288	0.038462
176	311	0.066667
176	306	0.021277
176	299	0.032258
176	319	0.055556
176	300	0.100000
144	193	0.205128
282	67	0.032258
176	315	0.055556
176	316	0.031250
297	34	0.075000
124	318	0.086957
289	212	0.047619
297	88	0.060606
254	308	0.049383
83	313	0.071429
103	318	0.043478
34	318	0.043478
144	288	0.038462
214	154	0.052632
308	254	0.075758
94	320	2.000000
282	214	0.095238
194	88	0.060606
144	290	0.750000
27	194	0.020619
176	32	0.014599
44	99	0.285714
144	51	0.030303
228	315	0.055556
321	144	0.015873
41	184	0.117647
193	315	0.055556
9	132	0.034483
144	322	0.090909
281	323	0.578947
99	144	0.015873
95	52	0.043478
52	95	0.038462
103	324	1.555556
176	324	0.111111
297	325	0.181818
44	299	0.064516
51	324	1.777778
324	51	0.484848
78	326	0.142857
281	144	0.031746
67	63	0.098592
193	144	0.047619
34	324	0.222222
323	34	0.050000
63	67	0.032258
307	325	0.012987
324	34	0.025000
319	34	0.075000
48	144	0.031746
319	325	0.038961
34	88	0.030303
204	327	0.125000
325	319	0.055556
52	328	0.200000
324	329	0.900000
329	324	0.888889
62	78	0.125000
72	291	0.181818
9	294	0.071429
9	318	0.130435
128	329	0.200000
9	78	0.125000
38	52	0.043478
9	52	0.065217
9	330	1.000000
51	52	0.021739
9	86	0.100000
51	331	0.500000
38	288	1.500000
332	333	0.083333
9	262	0.500000
9	288	0.692308
12	288	0.576923
62	260	0.041667
128	324	0.777778
313	78	0.125000
303	316	0.093750
67	90	0.037037
316	303	0.052632
334	128	0.106061
335	34	0.325000
323	281	1.525000
9	282	2.777778
333	319	0.111111
332	281	0.675000
336	315	0.055556
336	333	0.166667
308	333	0.333333
333	308	0.037037
36	189	3.100000
333	329	0.100000
323	333	0.083333
36	75	0.363636
329	333	0.083333
128	221	0.043478
103	316	0.093750
41	308	0.098765
337	281	0.350000
34	313	1.642857
337	260	0.020833
254	281	0.100000
308	311	0.200000
9	308	0.111111
338	260	0.020833
260	338	0.230769
254	311	0.100000
311	308	0.024691
311	254	0.030303
191	315	0.055556
103	311	0.133333
335	191	0.044444
311	50	0.022222
34	311	0.033333
9	311	0.133333
204	339	0.041667
313	34	0.375000
53	34	0.025000
50	311	0.033333
53	340	0.166667
53	308	0.061728
53	305	0.500000
53	341	0.050000
48	311	0.100000
338	319	0.111111
319	333	0.250000
319	338	0.538462
342	260	0.020833
317	311	0.133333
97	338	0.230769
34	343	0.030303
34	299	0.096774
299	34	0.050000
120	222	0.285714
344	209	0.035714
32	8	0.193548
47	78	0.125000
345	56	0.142857
345	318	0.086957
63	32	0.029197
44	34	0.100000
332	308	0.074074
277	6	0.020408
53	346	0.027027
314	333	0.333333
235	347	0.333333
314	228	0.166667
338	348	1.000000
314	95	0.038462
349	8	0.032258
349	319	0.055556
317	308	0.407407
44	308	0.049383
308	263	0.090909
317	263	0.200000
308	281	0.675000
191	347	0.333333
317	254	0.196970
337	254	0.045455
317	191	0.066667
254	302	0.127660
302	281	0.075000
302	254	0.075758
263	281	0.350000
281	263	0.327273
272	263	0.036364
317	281	0.425000
27	184	0.352941
212	263	0.163636
350	6	0.081633
351	299	0.032258
350	299	0.064516
239	349	0.086957
304	228	0.041667
263	352	0.047619
319	349	0.043478
353	254	0.030303
103	134	0.666667
317	319	0.166667
281	352	0.095238
62	354	0.250000
316	355	3.375000
316	263	0.254545
316	281	0.025000
103	353	0.026316
281	316	0.031250
272	316	0.125000
99	349	0.086957
172	128	0.030303
321	233	0.035714
6	252	0.043478
8	349	0.043478
277	263	0.163636
3	51	0.212121
356	63	0.014085
237	191	0.022222
357	358	0.125000
32	263	0.036364
289	359	0.125000
69	349	0.043478
69	155	0.050000
263	32	0.007299
291	72	0.013333
289	86	0.100000
323	340	0.333333
332	263	0.036364
61	105	0.022222
3	308	0.037037
328	52	0.021739
12	360	0.666667
235	263	0.018182
357	128	0.015152
357	175	0.025000
60	194	0.020619
103	314	0.080000
103	360	0.666667
103	158	0.250000
48	314	0.080000
12	316	0.031250
332	316	0.031250
308	337	0.024390
221	128	0.015152
131	297	0.188406
323	102	0.238095
323	191	0.066667
323	88	1.272727
307	48	0.062500
63	74	0.119048
209	242	0.157895
355	316	1.750000
266	50	0.022222
316	308	0.049383
88	323	0.385965
349	297	0.014493
297	349	0.304348
272	260	0.020833
297	248	0.222222
294	339	0.041667
124	323	0.052632
349	97	0.013889
162	161	0.454545
277	308	0.012346
277	361	0.083333
277	362	0.428571
97	316	0.031250
97	349	0.173913
344	128	0.015152
363	364	0.083333
242	209	0.142857
308	316	0.093750
307	281	0.100000
228	314	0.160000
307	254	0.060606
334	364	0.333333
212	88	0.090909
75	313	0.357143
209	365	0.037037
323	75	0.545455
19	331	1.000000
19	365	0.407407
212	75	0.454545
313	75	0.363636
365	209	0.035714
323	124	0.444444
88	212	0.015873
74	63	0.042254
88	358	0.083333
72	337	0.073171
358	88	0.060606
9	366	0.500000
9	358	0.125000
212	224	0.100000
286	367	0.055556
286	202	1.333333
368	367	0.111111
36	361	0.083333
367	368	0.019608
254	337	0.024390
9	212	0.158730
32	63	0.056338
368	288	0.192308
327	144	0.015873
288	368	0.078431
144	281	0.025000
97	327	0.125000
144	142	0.413793
144	369	1.000000
212	74	0.023810
144	370	0.142857
371	306	0.042553
311	48	0.041667
144	359	0.125000
323	372	0.008696
144	283	0.125000
373	308	0.111111
308	373	0.833333
338	144	0.015873
248	374	0.500000
103	375	0.115385
372	242	0.026316
103	365	0.259259
44	174	0.071429
44	373	0.083333
368	340	0.333333
95	365	0.148148
44	372	0.026087
372	368	0.098039
9	371	0.037037
44	365	0.037037
365	95	0.057692
9	368	0.039216
372	371	0.037037
340	368	0.019608
372	375	0.192308
236	128	0.272727
372	376	0.142857
376	372	0.008696
376	377	0.181818
335	72	0.173333
335	155	0.100000
337	72	0.026667
335	88	0.030303
103	378	0.241379
176	374	0.166667
248	375	0.192308
375	248	0.444444
335	368	0.215686
379	349	0.043478
332	352	0.190476
335	98	0.333333
41	380	0.333333
41	371	0.037037
335	50	0.044444
41	381	0.500000
335	365	0.037037
41	382	0.333333
41	343	0.030303
41	383	0.500000
368	194	0.030928
194	368	0.039216
368	236	0.241379
368	322	0.090909
171	56	0.071429
368	309	0.073171
62	102	0.095238
62	347	0.333333
176	378	0.068966
32	378	0.241379
189	358	0.125000
300	384	1.000000
41	300	0.200000
41	325	0.025974
309	368	0.019608
372	97	0.083333
1	146	1.000000
1	101	0.023256
1	211	0.250000
70	385	0.400000
154	56	0.071429
321	154	0.052632
79	365	0.074074
79	386	0.045455
386	50	0.066667
386	260	0.020833
376	50	0.066667
50	386	0.090909
50	376	0.095238
386	387	1.000000
30	72	0.026667
277	376	0.047619
376	191	0.044444
212	376	0.380952
371	377	0.090909
311	365	0.074074
388	306	0.042553
378	32	0.043796
189	349	0.086957
359	144	0.015873
34	365	0.037037
385	70	0.100000
254	378	0.689655
345	361	0.083333
345	346	0.108108
365	79	0.111111
365	311	0.066667
204	374	0.500000
72	30	0.066667
145	88	0.060606
191	376	0.047619
389	254	0.030303
63	337	0.048780
63	193	0.282051
337	63	0.014085
212	388	0.333333
263	378	0.034483
390	316	0.031250
391	349	0.086957
349	391	0.038462
378	254	0.272727
378	263	0.018182
392	383	0.500000
319	337	0.024390
387	386	0.181818
393	394	0.060606
395	8	0.064516
393	263	0.218182
396	378	0.862069
176	396	0.351351
386	343	0.060606
9	391	0.269231
8	395	0.333333
9	386	0.045455
289	392	0.375000
41	391	0.038462
289	375	0.038462
289	371	0.148148
289	391	0.192308
260	386	0.045455
321	359	0.250000
283	260	0.041667
254	396	0.162162
62	371	0.037037
1	397	1.000000
396	254	0.075758
321	396	0.054054
327	97	0.013889
357	396	0.081081
357	378	0.068966
220	373	0.083333
220	308	0.049383
220	224	0.233333
220	62	0.055556
220	254	0.015152
204	294	0.071429
32	396	0.027027
398	209	0.035714
399	396	0.027027
145	263	0.018182
399	364	0.083333
399	382	0.333333
209	396	0.027027
399	126	0.250000
399	299	0.064516
399	375	0.038462
399	59	0.055556
399	386	0.090909
399	76	0.600000
398	378	0.310345
400	32	0.014599
74	379	0.400000
74	396	0.027027
74	378	0.137931
399	365	0.074074
378	74	0.047619
399	311	0.033333
399	149	0.058824
316	390	0.500000
228	392	0.375000
378	396	0.918919
400	396	0.810811
36	296	0.057143
36	401	0.166667
12	402	0.391304
396	74	0.023810
396	399	0.166667
212	303	0.736842
365	399	0.333333
310	97	0.013889
403	8	0.016129
9	88	0.030303
9	34	0.075000
402	281	0.075000
303	389	0.034483
44	242	0.052632
176	263	0.036364
393	191	0.133333
191	396	0.135135
8	403	0.200000
396	191	0.111111
400	323	0.280702
41	263	0.018182
384	300	0.100000
6	404	0.222222
212	394	0.060606
398	405	0.956522
191	405	0.130435
405	191	0.066667
314	281	0.050000
194	406	0.500000
103	396	0.054054
6	378	0.379310
103	405	0.043478
378	6	0.204082
389	62	0.111111
389	303	0.105263
281	314	0.080000
281	402	0.130435
41	407	0.692308
9	405	0.260870
404	132	0.034483
297	62	0.055556
103	393	0.078431
74	408	0.071429
409	50	0.088889
201	410	0.400000
410	201	0.100000
201	52	0.021739
214	396	0.162162
41	396	0.081081
396	214	0.238095
103	371	0.074074
308	32	0.007299
344	403	1.000000
260	283	0.187500
27	406	0.500000
297	272	0.550000
263	405	0.391304
38	365	0.111111
368	394	0.060606
3	88	0.030303
321	411	0.666667
88	3	0.024390
234	166	0.142857
321	412	1.000000
307	368	0.019608
405	263	0.181818
103	344	0.125000
172	344	0.125000
9	411	0.666667
372	389	0.172414
372	407	0.692308
394	368	0.019608
409	263	0.054545
6	413	0.812500
321	405	0.173913
212	413	0.875000
131	393	0.098039
131	191	0.022222
321	344	0.375000
27	414	10.000000
38	405	0.130435
38	175	0.025000
415	329	0.400000
414	396	0.027027
413	6	0.204082
83	368	0.019608
344	172	0.038462
325	344	0.125000
321	389	0.017241
69	6	0.061224
103	343	0.030303
69	403	0.200000
38	177	0.928571
325	378	0.137931
321	177	0.071429
321	72	0.066667
416	212	0.015873
325	6	0.040816
212	387	0.250000
6	325	0.025974
212	416	0.500000
32	308	0.012346
67	410	0.400000
303	6	0.040816
357	343	0.060606
67	396	0.162162
277	417	1.000000
357	405	0.086957
357	393	0.019608
67	378	0.103448
413	212	0.079365
357	63	0.014085
357	389	0.017241
311	399	0.166667
69	418	0.083333
378	325	0.051948
378	67	0.016129
323	413	0.125000
96	74	0.095238
323	337	0.024390
52	201	0.200000
321	311	0.066667
323	356	0.125000
376	6	0.040816
69	75	0.181818
19	396	0.054054
6	376	0.095238
289	419	0.111111
335	278	0.047619
19	419	0.111111
249	8	0.064516
102	62	0.055556
321	52	0.043478
44	19	0.111111
335	6	0.367347
74	419	0.111111
398	368	0.156863
51	419	0.111111
228	311	0.033333
51	3	0.024390
323	367	4.277778
19	420	0.500000
323	421	0.400000
398	6	0.081633
368	294	0.142857
335	263	0.018182
294	368	0.117647
145	281	0.100000
132	3	0.024390
422	212	0.015873
294	288	0.038462
288	294	0.071429
57	56	0.071429
372	212	0.111111
256	48	0.041667
335	373	0.333333
372	72	0.093333
340	56	0.142857
372	311	0.033333
372	233	0.178571
335	174	0.142857
423	410	0.400000
335	115	0.250000
335	60	0.150000
228	378	0.034483
41	419	0.111111
69	373	0.166667
373	311	0.133333
176	419	0.111111
367	323	0.789474
69	228	0.041667
144	338	0.076923
423	8	0.016129
144	413	0.062500
389	68	0.156250
321	212	0.079365
335	19	0.037037
228	386	0.045455
423	97	0.013889
423	128	0.015152
144	374	0.166667
72	372	0.026087
424	405	0.086957
368	221	0.086957
212	372	0.052174
424	236	0.034483
335	356	0.187500
392	228	0.541667
236	368	0.078431
72	335	0.100000
356	335	0.100000
48	6	0.163265
6	335	0.100000
41	392	0.156250
176	392	0.343750
69	356	0.125000
194	184	0.117647
194	1	0.040000
103	392	0.562500
425	396	0.054054
422	335	0.100000
425	378	0.137931
103	417	0.500000
409	191	0.088889
426	427	0.500000
409	8	0.032258
409	194	0.010309
409	6	0.040816
409	260	0.020833
409	149	0.117647
409	413	0.250000
234	391	0.115385
263	391	0.115385
338	386	0.045455
72	263	0.036364
329	415	0.076923
422	194	0.030928
174	335	0.300000
386	399	0.166667
36	428	0.333333
36	413	0.250000
342	8	0.016129
342	63	0.126761
398	335	0.100000
429	242	0.131579
297	234	0.240000
32	429	0.181818
424	144	0.015873
321	392	1.687500
429	32	0.043796
321	371	0.037037
430	164	0.142857
430	58	0.035714
424	260	0.020833
431	371	0.037037
431	32	0.014599
